C.D.S.  -  SIMBAD4 rel 1.207  -  2013.07.31CEST05:25:05

children of 'M  45'
-------------------

Number of objects : 3279

 #  	dist(asec)	prob. 	     link ref      	     link      	Mag B 	Mag V 	Mag I 
    	          	member	                   	    comment    	      	      	      
233 	   9773.76	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
234 	   9157.85	   100	2007ApJS..172..663S	B              	     ~	     ~	15.31 
235 	   6048.39	   100	2007ApJS..172..663S	B              	10.20 	 9.63 	     ~
236 	  25552.07	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
237 	  16691.37	     0	2010MNRAS.408..475H	B              	13.56 	12.97 	     ~
238 	  10152.84	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
239 	   7037.82	   100	2007ApJS..172..663S	B              	     ~	18.50 	15.40 
240 	   2596.70	   100	2007ApJS..172..663S	B              	11.2  	10.6  	 9.74 
241 	   8964.84	   100	2007ApJS..172..663S	B              	     ~	     ~	15.71 
242 	   2838.58	   100	2007ApJS..172..663S	B              	15.62 	14.23 	12.50 
243 	  25925.47	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
244 	  13394.94	   100	2007ApJS..172..663S	B              	     ~	     ~	18.07 
245 	   5758.96	   100	2007ApJS..172..663S	B              	     ~	     ~	16.54 
246 	   5852.10	   100	2007ApJS..172..663S	B              	     ~	     ~	12.79 
247 	   9241.53	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
248 	  30977.33	     0	2010MNRAS.408..475H	B              	11.10 	10.15 	     ~
249 	    820.89	   100	2007ApJS..172..663S	B              	 4.113	 4.164	 4.16 
250 	   1780.47	   100	2007ApJS..172..663S	B              	     ~	19.00 	15.55 
251 	  22341.23	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
252 	  12350.54	   100	2007ApJS..172..663S	B              	     ~	     ~	14.72 
253 	   2467.46	   100	2007ApJS..172..663S	B              	15.29 	13.95 	12.34 
254 	   2552.63	   100	2007ApJS..172..663S	B              	     ~	     ~	17.71 
255 	  12530.88	     0	2010MNRAS.408..475H	B              	11.95 	11.83 	     ~
256 	  15054.93	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
257 	   9733.75	   100	2007ApJS..172..663S	B              	     ~	     ~	13.27 
258 	  14302.84	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
259 	  12057.99	   100	2007ApJS..172..663S	B              	     ~	     ~	15.01 
260 	  10600.77	   100	2007ApJS..172..663S	B              	10.07 	 9.61 	 8.7  
261 	   2837.79	   100	2007ApJS..172..663S	B              	     ~	20.30 	16.10 
262 	   7076.79	   100	2007ApJS..172..663S	B              	     ~	18.30 	15.30 
263 	   4121.98	   100	2007ApJS..172..663S	B              	13.15 	12.15 	11.06 
264 	    543.71	   100	2007ApJS..172..663S	B              	     ~	     ~	     ~
265 	   4821.84	   100	2010MNRAS.408..475H	B              	     ~	15.80 	     ~
266 	  27725.90	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
267 	   7853.28	   100	2007ApJS..172..663S	B              	12.08 	11.24 	10.44 
268 	   1841.53	   100	2007ApJS..172..663S	B              	     ~	     ~	17.91 
269 	  18735.37	     0	2010MNRAS.408..475H	B              	10.48 	 9.92 	     ~
270 	    833.55	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
271 	   4179.49	   100	2007ApJS..172..663S	B              	18.6  	     ~	14.96 
272 	   3216.94	     0	2010MNRAS.408..475H	B              	11.94 	11.49 	     ~
273 	  24049.03	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
274 	   7229.15	   100	2007ApJS..172..663S	B              	     ~	15.88 	13.54 
275 	   1164.69	   100	2010MNRAS.408..475H	B              	10.73 	11.92 	 9.37 
276 	   8271.38	     0	2010MNRAS.408..475H	B              	14.5  	     ~	     ~
277 	   3096.24	   100	2007ApJS..172..663S	B              	     ~	     ~	15.42 
278 	   1695.78	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
279 	  22481.79	     0	2010MNRAS.408..475H	B              	10.00 	 9.73 	     ~
280 	   3715.04	   100	2007ApJS..172..663S	B              	     ~	     ~	15.88 
281 	   8025.09	   100	2007ApJS..172..663S	B              	     ~	20.40 	15.90 
282 	  14493.36	   100	2007ApJS..172..663S	B              	     ~	     ~	13.30 
283 	   4116.64	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
284 	   8966.29	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
285 	   2244.44	   100	2007ApJS..172..663S	B              	13.01 	12.02 	10.93 
286 	  28081.73	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
287 	  27319.16	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
288 	  25132.38	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
289 	   5177.85	   100	2007ApJS..172..663S	B              	     ~	21.24 	17.51 
290 	   1737.07	     0	2010MNRAS.408..475H	B              	14.200	13.54 	     ~
291 	   8012.89	   100	2007ApJS..172..663S	B              	     ~	     ~	15.98 
292 	  12064.88	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
293 	  21909.40	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
294 	  13452.21	   100	2007ApJS..172..663S	B              	     ~	     ~	16.13 
295 	   7595.32	   100	2007ApJS..172..663S	B              	     ~	15.90 	14.00 
296 	   7975.89	   100	2007ApJS..172..663S	B              	     ~	18.20 	15.40 
297 	   7213.87	   100	2007ApJS..172..663S	B              	     ~	     ~	16.97 
298 	  25821.22	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
299 	   2306.93	     0	2010MNRAS.408..475H	B              	11.74 	10.86 	     ~
300 	  30214.33	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
301 	   1235.54	   100	2007ApJS..172..663S	B              	     ~	     ~	16.27 
302 	   4592.46	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
303 	  17991.60	     0	2010MNRAS.408..475H	B              	12.64 	11.12 	     ~
304 	  25465.13	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
305 	  13015.39	     0	2010MNRAS.408..475H	B              	11.40 	11.25 	     ~
306 	   1710.36	   100	2007ApJS..172..663S	B              	 8.94 	 8.58 	 8.33 
307 	  12101.32	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
308 	  31524.86	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
309 	    389.03	   100	2007ApJS..172..663S	B              	     ~	     ~	16.87 
310 	  13767.12	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
311 	  10123.91	     0	2010MNRAS.408..475H	B              	10.73 	10.20 	     ~
312 	   4152.67	     0	2010MNRAS.408..475H	B              	 9.79 	 9.40 	     ~
313 	   1002.91	   100	2007ApJS..172..663S	B              	     ~	     ~	14.72 
314 	  12521.47	     0	2010MNRAS.408..475H	B              	12.43 	11.61 	     ~
315 	  10757.85	   100	2007ApJS..172..663S	B              	     ~	     ~	14.40 
316 	  19159.08	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
317 	   5295.05	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
318 	  13382.73	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
319 	  15289.72	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
320 	   7020.82	   100	2007ApJS..172..663S	B              	     ~	16.00 	13.60 
321 	   8550.72	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
322 	   5424.86	     0	2010MNRAS.408..475H	B              	11.23 	10.64 	     ~
323 	  25539.00	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
324 	   4338.93	   100	2007ApJS..172..663S	B              	     ~	18.92 	15.72 
325 	  20831.48	     0	2010MNRAS.408..475H	B              	12.51 	11.58 	     ~
326 	  11770.32	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
327 	  29044.12	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
328 	  21364.93	     0	2010MNRAS.408..475H	B              	12.84 	11.64 	     ~
329 	   6328.30	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
330 	   5495.52	   100	2007ApJS..172..663S	B              	     ~	17.77 	14.77 
