C.D.S.  -  SIMBAD4 rel 1.207  -  2013.07.31CEST05:25:05

children of 'M  45'
-------------------

Number of objects : 3279

 #  	dist(asec)	prob. 	     link ref      	     link      	Mag B 	Mag V 	Mag I 
    	          	member	                   	    comment    	      	      	      
2638	   5782.53	   100	2007ApJS..172..663S	B              	     ~	17.00 	14.30 
2639	   7805.89	   100	2010MNRAS.408..475H	B              	     ~	16.23 	13.53 
2640	   1783.38	   100	2007ApJS..172..663S	B              	15.60 	13.64 	12.12 
2641	  29867.49	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2642	  21793.56	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2643	  20864.37	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2644	   4615.49	   100	2007ApJS..172..663S	B              	     ~	     ~	16.96 
2645	   4778.92	   100	2007ApJS..172..663S	B              	     ~	     ~	16.61 
2646	  18787.54	     0	2010MNRAS.408..475H	B              	11.24 	10.75 	     ~
2647	  31313.06	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2648	  31777.97	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2649	    957.31	   100	2001A&A...373..159C	B              	10.41 	 9.87 	 9.24 
2650	   6820.86	   100	2007ApJS..172..663S	B              	     ~	     ~	15.94 
2651	   4683.92	     0	2010MNRAS.408..475H	B              	12.38 	11.06 	     ~
2652	  13893.45	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2653	   5387.32	   100	2007ApJS..172..663S	B              	     ~	18.10 	15.20 
2654	   4185.11	   100	2007ApJS..172..663S	B              	     ~	     ~	15.61 
2655	  12005.96	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2656	   1071.40	   100	2007ApJS..172..663S	B              	     ~	17.90 	15.10 
2657	  22510.97	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2658	   8608.88	   100	2010MNRAS.408..475H	B              	     ~	     ~	13.89 
2659	   4656.00	   100	2007ApJS..172..663S	B              	16.6  	17.64 	15.00 
2660	  14971.98	   100	2007ApJS..172..663S	B              	     ~	     ~	16.23 
2661	   3230.60	   100	2007ApJS..172..663S	B              	12.61 	11.75 	     ~
2662	  23957.76	     0	2010MNRAS.408..475H	B              	11.22 	10.56 	     ~
2663	   5488.50	   100	2007ApJS..172..663S	B              	12.99 	12.05 	     ~
2664	   9528.18	   100	2007ApJS..172..663S	B              	     ~	     ~	13.76 
2665	  22054.27	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2666	   5960.12	   100	2007ApJS..172..663S	B              	     ~	16.72 	14.01 
2667	   2253.60	   100	2007ApJS..172..663S	B              	     ~	     ~	15.62 
2668	  18521.69	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2669	  19746.75	     0	2010MNRAS.408..475H	B              	14.87 	13.34 	     ~
2670	   4401.90	   100	2007ApJS..172..663S	B              	11.4  	10.7  	 9.97 
2671	  22152.65	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2672	   6576.51	   100	2007ApJS..172..663S	B              	     ~	     ~	16.41 
2673	  29260.13	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2674	   1358.68	   100	2007ApJS..172..663S	B              	     ~	     ~	     ~
2675	  18594.13	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2676	  30719.73	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2677	  12540.10	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2678	   3634.27	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2679	   3849.25	   100	2010MNRAS.408..475H	B              	18.81 	17.16 	14.23 
2680	  15896.94	   100	2007ApJS..172..663S	B              	13.00 	12.52 	     ~
2681	  18434.64	     0	2010MNRAS.408..475H	B              	11.57 	10.88 	     ~
2682	   7216.09	   100	2007ApJS..172..663S	B              	     ~	18.30 	15.30 
2683	    741.64	   100	2007ApJS..172..663S	B              	     ~	     ~	     ~
2684	  26870.37	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2685	   8679.85	   100	2007ApJS..172..663S	B              	11.73 	11.24 	     ~
2686	  27820.47	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2687	  24969.37	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2688	  10244.27	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2689	  15984.02	   100	2007ApJS..172..663S	B              	     ~	     ~	11.85 
2690	   5043.08	   100	2010MNRAS.408..475H	B              	     ~	16.40 	13.68 
2691	  12928.67	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2692	   6263.72	   100	2007ApJS..172..663S	B              	16.99 	15.44 	13.03 
2693	  32416.25	     0	2010MNRAS.408..475H	B              	12.33 	10.63 	     ~
2694	   6751.14	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2695	  10271.59	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2696	   9079.58	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2697	   4124.43	   100	2007ApJS..172..663S	B              	18    	17.81 	15.35 
2698	   3076.97	   100	2010MNRAS.408..475H	B              	18.77 	17.09 	14.11 
2699	   5453.15	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2700	   5406.60	   100	2007ApJS..172..663S	B              	20.0  	17.90 	15.00 
2701	   3161.60	   100	2001A&A...373..159C	B              	10.48 	 9.97 	 9.27 
2702	   5694.33	   100	2007ApJS..172..663S	B              	     ~	     ~	16.50 
2703	   9864.43	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2704	   1709.61	   100	2007ApJS..172..663S	B              	13.42 	12.26 	10.83 
2705	  26622.68	     0	2010MNRAS.408..475H	B              	11.54 	11.41 	     ~
2706	   1367.51	   100	2007ApJS..172..663S	B              	14.63 	13.36 	12.02 
2707	   3865.52	   100	2007ApJS..172..663S	B              	     ~	     ~	19.00 
2708	  17433.48	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2709	  26845.98	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2710	  13791.66	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2711	  27983.22	     0	2010MNRAS.408..475H	B              	11.29 	10.94 	     ~
2712	   9973.27	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2713	   4242.71	     ~	2006A&A...458..805B	(null)         	     ~	     ~	17.13 
2714	   3613.28	     0	2010MNRAS.408..475H	B              	11.34 	10.81 	     ~
2715	  23088.40	     0	2010MNRAS.408..475H	B              	13.22 	11.49 	     ~
2716	  10162.58	   100	2007ApJS..172..663S	B              	11.59 	10.69 	     ~
2717	   6269.92	   100	2007ApJS..172..663S	B              	     ~	     ~	16.40 
2718	  34781.83	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2719	   2891.19	   100	2007ApJS..172..663S	B              	15.40 	     ~	15.20 
2720	  32303.72	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2721	   5392.87	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2722	  10929.37	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2723	   7872.37	   100	2007ApJS..172..663S	B              	     ~	     ~	18.19 
2724	   6419.36	   100	2010MNRAS.408..475H	B              	     ~	15.20 	13.10 
2725	  25289.24	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2726	  12538.07	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2727	  15596.97	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2728	    287.11	   100	2007ApJS..172..663S	B              	 9.75 	 9.28 	 8.75 
2729	  27440.45	     0	2010MNRAS.408..475H	B              	12.56 	11.11 	     ~
2730	  27305.48	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2731	  26607.56	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2732	  33472.38	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2733	   4965.16	   100	2007ApJS..172..663S	B              	     ~	     ~	16.19 
2734	   1334.28	   100	2007ApJS..172..663S	B              	11.02 	10.36 	 9.72 
2735	   7087.02	   100	2007ApJS..172..663S	B              	15.53 	14.18 	     ~
2736	  18966.45	     0	2010MNRAS.408..475H	B              	12.21 	12.04 	     ~
2737	   4047.40	   100	2007ApJS..172..663S	B              	     ~	18.03 	14.70 
2738	  28922.28	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2739	   3102.31	   100	2007ApJS..172..663S	B              	15.09 	13.77 	     ~
2740	   8918.42	   100	2007ApJS..172..663S	B              	     ~	20.74 	16.77 
2741	   7840.18	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2742	  27533.79	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2743	    587.93	   100	2007ApJS..172..663S	B              	     ~	18.50 	15.10 
2744	  27724.91	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2745	   9945.96	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2746	   6415.10	   100	2007ApJS..172..663S	B              	     ~	21.5  	15.91 
2747	  12456.60	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2748	  14417.45	   100	2007ApJS..172..663S	B              	     ~	     ~	16.40 
2749	   4441.20	   100	2007ApJS..172..663S	B              	     ~	     ~	16.10 
2750	   7501.02	   100	2007ApJS..172..663S	B              	16.5  	16.90 	14.40 
2751	   3260.47	   100	2007ApJS..172..663S	B              	     ~	     ~	16.27 
2752	   2776.46	   100	2007ApJS..172..663S	B              	11.2  	10.7  	 9.66 
2753	   9661.39	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2754	    737.81	   100	2007ApJS..172..663S	B              	 6.87 	 6.81 	 6.74 
2755	  40722.68	     0	2010MNRAS.408..475H	B              	12.18 	11.523	     ~
2756	   3527.32	   100	2001A&A...373..159C	B              	 9.33 	 9.01 	 8.37 
2757	  23321.22	     0	2010MNRAS.408..475H	B              	10.89 	10.28 	     ~
2758	   6944.65	   100	2007ApJS..172..663S	B              	     ~	16.13 	13.69 
2759	  10178.54	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2760	  22317.40	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2761	  18070.15	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2762	   1409.62	   100	2007ApJS..172..663S	B              	18.28 	16.68 	14.12 
2763	  12520.36	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2764	   7492.34	   100	2007ApJS..172..663S	B              	13.63 	10.97 	     ~
2765	   2291.90	   100	2007ApJS..172..663S	B              	12.80 	11.92 	10.89 
2766	   9723.72	   100	2007ApJS..172..663S	B              	     ~	     ~	12.51 
2767	  17589.48	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2768	  16409.04	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2769	   2944.50	   100	2007ApJS..172..663S	B              	16.03 	14.61 	12.72 
2770	   3726.74	   100	2007ApJS..172..663S	B              	14.5  	14.03 	12.40 
2771	   7803.54	   100	2007ApJS..172..663S	B              	17.1  	15.94 	13.69 
2772	   2532.22	   100	2007ApJS..172..663S	B              	 8.65 	 8.30 	 7.83 
2773	  20649.36	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2774	   7141.91	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2775	  31810.22	     0	2010MNRAS.408..475H	B              	10.48 	 9.96 	     ~
2776	   8724.09	     0	2010MNRAS.408..475H	B              	10.05 	 9.66 	     ~
2777	   6045.30	   100	2007ApJS..172..663S	B              	     ~	18.09 	15.30 
2778	   7044.48	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2779	   5400.14	   100	2007ApJS..172..663S	B              	     ~	18.45 	15.35 
2780	  14278.10	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2781	  16593.88	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2782	   3176.29	   100	2007ApJS..172..663S	B              	13.66 	12.60 	11.43 
2783	  14592.31	   100	2007ApJS..172..663S	B              	     ~	     ~	16.17 
2784	  27373.96	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2785	   8021.89	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2786	   4451.90	   100	2007ApJS..172..663S	B              	     ~	     ~	15.65 
2787	  10806.37	   100	2007ApJS..172..663S	B              	     ~	     ~	15.74 
2788	  13374.46	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2789	   4137.77	   100	2007ApJS..172..663S	B              	13.90 	14.76 	12.75 
2790	  29580.24	     0	2010MNRAS.408..475H	B              	12.77 	11.74 	     ~
2791	   6577.17	   100	2007ApJS..172..663S	B              	14.10 	     ~	14.92 
2792	   1558.85	   100	2007ApJS..172..663S	B              	16.48 	15.30 	12.86 
2793	   5372.84	   100	2007ApJS..172..663S	B              	     ~	16.70 	13.90 
2794	  28838.93	     0	2010MNRAS.408..475H	B              	11.40 	10.89 	     ~
2795	  19593.78	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2796	   5789.54	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2797	  22860.81	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2798	  24960.97	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2799	   4420.29	   100	2007ApJS..172..663S	B              	18.15 	16.57 	14.00 
2800	  34897.62	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2801	  13555.68	     0	2010MNRAS.408..475H	B              	11.47 	11.26 	     ~
2802	    444.68	   100	2007ApJS..172..663S	B              	     ~	19.52 	15.89 
2803	  12644.58	     0	2010MNRAS.408..475H	B              	12.21 	10.87 	     ~
2804	   6412.92	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2805	   3059.68	   100	2007ApJS..172..663S	B              	     ~	     ~	16.15 
2806	   8506.88	   100	2007ApJS..172..663S	B              	     ~	17.60 	14.60 
2807	  28783.20	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2808	  33706.50	     0	2010MNRAS.408..475H	B              	11.95 	11.78 	     ~
2809	   3907.00	   100	2007ApJS..172..663S	B              	15.26 	13.91 	12.33 
2810	   2771.19	   100	2010MNRAS.408..475H	B              	16.63 	15.07 	12.68 
2811	   3258.49	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2812	   2858.32	   100	2010MNRAS.408..475H	B              	14.85 	13.62 	12.26 
2813	   4472.68	   100	2007ApJS..172..663S	B              	     ~	     ~	17.15 
2814	  10884.62	   100	2007ApJS..172..663S	B              	     ~	     ~	14.82 
2815	  23301.24	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2816	   2765.31	   100	2007ApJS..172..663S	B              	12.33 	11.49 	10.63 
2817	  16600.82	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2818	  11196.40	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2819	  28007.86	     0	2010MNRAS.408..475H	B              	12.81 	11.93 	     ~
2820	   2743.18	     0	2010MNRAS.408..475H	B              	13.28 	     ~	     ~
2821	  32312.84	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2822	   2645.95	     0	2010MNRAS.408..475H	B              	12.06 	11.17 	     ~
2823	  35859.04	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2824	  31193.21	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2825	  26950.49	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2826	   2091.00	   100	2007ApJS..172..663S	B              	     ~	18.50 	15.10 
2827	  17101.81	   100	2007ApJS..172..663S	B              	     ~	     ~	11.16 
2828	  21362.01	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2829	  25166.66	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2830	  13844.23	     0	2010MNRAS.408..475H	B              	12.91 	12.43 	     ~
2831	  21943.32	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2832	   8187.40	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2833	  10877.18	   100	2007ApJS..172..663S	B              	     ~	     ~	12.21 
2834	  12786.36	   100	2007ApJS..172..663S	B              	     ~	     ~	13.66 
2835	   8381.12	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2836	  26885.55	     0	2010MNRAS.408..475H	B              	13.37 	10.96 	     ~
2837	   2939.22	   100	2007ApJS..172..663S	B              	     ~	19.70 	15.80 
2838	   5176.80	   100	2007ApJS..172..663S	B              	     ~	     ~	16.61 
2839	  16216.60	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2840	  10362.68	   100	2007ApJS..172..663S	B              	     ~	     ~	15.30 
2841	  13876.98	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2842	   1762.44	   100	2007ApJS..172..663S	B              	14.14 	13.02 	11.75 
2843	  11962.14	   100	2007ApJS..172..663S	B              	     ~	     ~	14.71 
2844	  12437.51	   100	2007ApJS..172..663S	B              	     ~	     ~	15.50 
2845	  16260.13	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2846	  33922.48	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2847	   3453.12	   100	2007ApJS..172..663S	B              	13.7  	17.66 	14.91 
2848	  20680.71	     0	2010MNRAS.408..475H	B              	12.46 	12.16 	     ~
2849	   4126.48	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2850	  19857.63	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2851	  17358.45	   100	2007ApJS..172..663S	B              	     ~	     ~	12.14 
2852	  25881.86	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2853	   9777.93	   100	2007ApJS..172..663S	B              	     ~	     ~	13.98 
2854	   9355.19	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2855	    162.56	   100	2007ApJS..172..663S	B              	15.93 	14.58 	12.72 
2856	  19320.51	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2857	  35070.92	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2858	  20976.59	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2859	  11527.11	     0	2010MNRAS.408..475H	B              	12.95 	11.81 	     ~
2860	   3239.10	   100	2007ApJS..172..663S	B              	20.74 	19.47 	16.05 
2861	  10673.71	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2862	   1672.17	   100	2007ApJS..172..663S	B              	     ~	20.41 	16.55 
2863	   3931.30	   100	2007ApJS..172..663S	B              	     ~	     ~	15.50 
2864	  34303.22	     0	2010MNRAS.408..475H	B              	11.68 	10.85 	     ~
2865	  24166.71	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2866	  12392.45	   100	2007ApJS..172..663S	B              	15.27 	13.95 	     ~
2867	   4021.72	     0	2010MNRAS.408..475H	B              	13.58 	11.65 	     ~
2868	  28719.40	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2869	   6552.80	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2870	  28977.80	     0	2010MNRAS.408..475H	B              	12.64 	12.28 	     ~
2871	   3622.58	   100	2007ApJS..172..663S	B              	     ~	17.89 	15.52 
2872	   1386.90	   100	2007ApJS..172..663S	B              	     ~	     ~	     ~
2873	   5119.66	   100	2007ApJS..172..663S	B              	     ~	18.30 	15.00 
2874	  14839.14	   100	2007ApJS..172..663S	B              	     ~	12.1  	11.42 
2875	  22053.41	     0	2010MNRAS.408..475H	B              	12.85 	12.19 	     ~
2876	  15106.94	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2877	   1017.24	   100	2007ApJS..172..663S	B              	13.79 	12.61 	11.33 
2878	   9389.97	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2879	   6015.23	   100	2007ApJS..172..663S	B              	     ~	     ~	16.51 
2880	  25678.44	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2881	  12789.60	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2882	   3033.99	   100	2007ApJS..172..663S	B              	10.18 	 9.56 	 8.82 
2883	   2281.37	   100	2007ApJS..172..663S	B              	     ~	     ~	15.21 
2884	   5586.38	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2885	  16047.69	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2886	   2244.04	   100	2007ApJS..172..663S	B              	15.14 	13.82 	     ~
2887	   2173.78	   100	2007ApJS..172..663S	B              	     ~	     ~	     ~
2888	   8525.20	   100	2007ApJS..172..663S	B              	15.5  	16.10 	13.60 
2889	   3848.75	   100	2010MNRAS.408..475H	B              	15.6  	15.61 	13.27 
2890	  24509.95	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2891	  12654.99	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2892	  20472.77	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2893	   1006.23	   100	2007ApJS..172..663S	B              	     ~	     ~	19.18 
2894	  20253.42	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2895	   6000.03	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2896	  30488.72	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2897	  21439.78	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2898	   2944.05	   100	2007ApJS..172..663S	B              	15.52 	14.10 	12.30 
2899	   4990.93	   100	2007ApJS..172..663S	B              	     ~	18.23 	15.22 
2900	   1750.83	   100	2007ApJS..172..663S	B              	     ~	     ~	     ~
2901	  28775.61	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2902	   1825.00	   100	2007ApJS..172..663S	B              	17.00 	17.30 	14.40 
2903	  21251.48	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2904	   7298.72	   100	2007ApJS..172..663S	B              	     ~	19.99 	16.57 
2905	   5860.44	   100	2007ApJS..172..663S	B              	     ~	     ~	15.71 
2906	  38376.84	     0	2010MNRAS.408..475H	B              	12.94 	11.83 	     ~
2907	   7547.18	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2908	   3562.17	   100	2010MNRAS.408..475H	B              	11.7  	11.0  	10.00 
2909	  26243.91	     0	2010MNRAS.408..475H	B              	13.6  	11.7  	     ~
2910	   2128.64	   100	2007ApJS..172..663S	B              	18.00 	16.20 	13.90 
2911	  13624.83	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2912	   5880.30	   100	2007ApJS..172..663S	B              	     ~	16.90 	14.20 
2913	  20608.24	     0	2010MNRAS.408..475H	B              	10.63 	10.14 	     ~
2914	   5249.05	   100	2007ApJS..172..663S	B              	     ~	17.19 	14.66 
2915	   2383.73	   100	2007ApJS..172..663S	B              	15.0  	19.40 	15.40 
2916	   3678.26	   100	2007ApJS..172..663S	B              	15.85 	14.38 	12.66 
2917	   8350.27	   100	2007ApJS..172..663S	B              	     ~	     ~	11.24 
2918	  14622.61	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2919	   5087.83	   100	2007ApJS..172..663S	B              	14.74 	13.47 	11.85 
2920	   3048.49	   100	2007ApJS..172..663S	B              	10.9  	10.27 	 9.55 
2921	   6101.77	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2922	  19089.11	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2923	  30896.71	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2924	  29451.25	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2925	   7767.78	   100	2007ApJS..172..663S	B              	     ~	19.20 	15.60 
2926	  26644.76	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2927	   7475.31	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2928	   7312.57	   100	2007ApJS..172..663S	B              	     ~	17.59 	14.96 
2929	  11733.02	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2930	  14621.03	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2931	   1734.07	   100	2007ApJS..172..663S	B              	     ~	     ~	     ~
2932	  10512.00	   100	2007ApJS..172..663S	B              	     ~	     ~	14.90 
2933	  22479.47	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2934	  31768.51	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2935	   3674.67	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2936	  33500.57	     0	2010MNRAS.408..475H	B              	12.24 	12.17 	     ~
2937	   5109.91	   100	2007ApJS..172..663S	B              	20.2  	17.30 	14.64 
2938	  36634.70	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2939	   6957.67	   100	2007ApJS..172..663S	B              	     ~	14.74 	12.82 
2940	   2583.82	   100	2007ApJS..172..663S	B              	     ~	16.35 	13.86 
2941	   3064.82	   100	2007ApJS..172..663S	B              	     ~	     ~	15.45 
2942	   8877.48	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2943	  15675.00	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2944	  31022.51	     0	2010MNRAS.408..475H	B              	11.06 	10.88 	     ~
2945	   1284.86	   100	2007ApJS..172..663S	B              	     ~	17.80 	14.80 
2946	   5452.72	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2947	   6571.17	   100	2007ApJS..172..663S	B              	17.8  	16.30 	     ~
2948	  11114.95	   100	2007ApJS..172..663S	B              	     ~	     ~	14.73 
2949	   6285.30	   100	2007ApJS..172..663S	B              	     ~	     ~	16.85 
2950	  27995.93	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2951	  29273.58	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2952	  25492.96	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2953	  32172.57	     0	2010MNRAS.408..475H	B              	11.53 	10.69 	     ~
2954	  12384.71	   100	2007ApJS..172..663S	B              	     ~	     ~	15.40 
2955	  25463.91	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2956	  27407.56	     0	2010MNRAS.408..475H	B              	11.86 	10.88 	     ~
2957	  14050.92	     0	2010MNRAS.408..475H	B              	12.16 	11.36 	     ~
2958	   1313.46	   100	2007ApJS..172..663S	B              	19.7  	18.18 	15.23 
2959	   2932.36	   100	2007ApJS..172..663S	B              	     ~	     ~	16.12 
2960	  16887.67	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2961	  27502.90	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2962	   2317.67	   100	2007ApJS..172..663S	B              	     ~	     ~	17.02 
2963	  13603.12	   100	2007ApJS..172..663S	B              	     ~	     ~	16.46 
2964	   7792.31	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2965	  18821.78	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2966	  19058.92	     0	2010MNRAS.408..475H	B              	     ~	13.1  	     ~
2967	   8677.47	   100	2007ApJS..172..663S	B              	     ~	     ~	15.72 
2968	   2784.38	   100	2007ApJS..172..663S	B              	     ~	     ~	17.08 
2969	   6747.47	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2970	  32552.41	     0	2010MNRAS.408..475H	B              	12.87 	11.48 	     ~
2971	  25124.22	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2972	  27938.16	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2973	   6702.42	   100	2007ApJS..172..663S	B              	     ~	17.80 	14.60 
2974	  10389.01	   100	2007ApJS..172..663S	B              	15.4  	     ~	13.31 
2975	  36739.60	     0	2010MNRAS.408..475H	B              	11.57 	11.09 	     ~
2976	   6082.27	     0	2010MNRAS.408..475H	B              	     ~	     ~	     ~
2977	  16728.03	     0	2010MNRAS.408..475H	B              	10.27 	 9.80 	     ~
